Indicator,Country,Date,value
Cumulative number of probable Ebola cases,Liberia,2014-12-15,1801
Cumulative number of suspected Ebola cases,Liberia,2014-12-15,3050
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-12-15,7797
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-12-15,6638
Cumulative number of probable Ebola cases,Sierra Leone,2014-12-15,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-12-15,1556
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-12-15,8273
Cumulative number of confirmed Ebola cases,Mali,2014-12-15,7
Cumulative number of probable Ebola cases,Mali,2014-12-15,1
Cumulative number of suspected Ebola cases,Mali,2014-12-15,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-15,8
Cumulative number of confirmed Ebola cases,Spain,2014-12-15,1
Cumulative number of probable Ebola cases,Spain,2014-12-15,0
Cumulative number of suspected Ebola cases,Spain,2014-12-15,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-12-15,1
Cumulative number of confirmed Ebola cases,United States of America,2014-12-15,4
Cumulative number of probable Ebola cases,United States of America,2014-12-15,0
Cumulative number of suspected Ebola cases,United States of America,2014-12-15,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-12-15,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-12-15,19
Cumulative number of probable Ebola cases,Nigeria,2014-12-15,1
Cumulative number of suspected Ebola cases,Nigeria,2014-12-15,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-12-15,20
Cumulative number of confirmed Ebola cases,Senegal,2014-12-15,1
Cumulative number of probable Ebola cases,Senegal,2014-12-15,0
Cumulative number of suspected Ebola cases,Senegal,2014-12-15,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-15,1
Cumulative number of confirmed Ebola deaths,Guinea,2014-12-15,1255
Cumulative number of probable Ebola deaths,Guinea,2014-12-15,263
Cumulative number of suspected Ebola deaths,Guinea,2014-12-15,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-12-15,1518
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-12-15,3290
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-12-15,1824
Cumulative number of probable Ebola deaths,Sierra Leone,2014-12-15,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-12-15,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-12-15,2033
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-12-15,6
Cumulative number of confirmed Ebola deaths,Spain,2014-12-15,0
Cumulative number of probable Ebola deaths,Spain,2014-12-15,0
Cumulative number of suspected Ebola deaths,Spain,2014-12-15,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-12-15,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-12-15,1
Cumulative number of probable Ebola deaths,United States of America,2014-12-15,0
Cumulative number of suspected Ebola deaths,United States of America,2014-12-15,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-12-15,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-12-15,7
Cumulative number of probable Ebola deaths,Nigeria,2014-12-15,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-12-15,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-12-15,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-12-15,0
Cumulative number of probable Ebola deaths,Senegal,2014-12-15,0
Cumulative number of suspected Ebola deaths,Senegal,2014-12-15,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-12-15,0
Cumulative number of confirmed Ebola cases,Guinea,2014-12-10,2051
Cumulative number of probable Ebola cases,Guinea,2014-12-10,221
Cumulative number of suspected Ebola cases,Guinea,2014-12-10,20
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-12-10,2292
Cumulative number of confirmed Ebola cases,Liberia,2014-12-10,2830
Cumulative number of probable Ebola cases,Liberia,2014-12-10,1814
Cumulative number of suspected Ebola cases,Liberia,2014-12-10,3075
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-12-10,7719
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-12-10,6375
Cumulative number of probable Ebola cases,Sierra Leone,2014-12-10,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-12-10,1443
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-12-10,7897
Cumulative number of confirmed Ebola cases,Mali,2014-12-10,7
Cumulative number of probable Ebola cases,Mali,2014-12-10,1
Cumulative number of suspected Ebola cases,Mali,2014-12-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-10,8
Cumulative number of confirmed Ebola cases,United States of America,2014-12-10,4
Cumulative number of probable Ebola cases,United States of America,2014-12-10,0
Cumulative number of suspected Ebola cases,United States of America,2014-12-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-12-10,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-12-10,19
Cumulative number of probable Ebola cases,Nigeria,2014-12-10,1
Cumulative number of suspected Ebola cases,Nigeria,2014-12-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-12-10,20
Cumulative number of confirmed Ebola cases,Senegal,2014-12-10,1
Cumulative number of probable Ebola cases,Senegal,2014-12-10,0
Cumulative number of suspected Ebola cases,Senegal,2014-12-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-10,1
Cumulative number of confirmed Ebola cases,Spain,2014-12-10,1
Cumulative number of probable Ebola cases,Spain,2014-12-10,0
Cumulative number of suspected Ebola cases,Spain,2014-12-10,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-12-10,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-12-10,321
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-12-10,321
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-12-10,225
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-12-10,225
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-12-10,1319
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-12-10,1319
Cumulative number of confirmed Ebola deaths,Guinea,2014-12-10,1207
Cumulative number of probable Ebola deaths,Guinea,2014-12-10,221
Cumulative number of suspected Ebola deaths,Guinea,2014-12-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-12-10,1428
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-12-10,3177
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-12-10,1559
Cumulative number of probable Ebola deaths,Sierra Leone,2014-12-10,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-12-10,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-12-10,1768
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-12-10,6
Cumulative number of confirmed Ebola deaths,United States of America,2014-12-10,1
Cumulative number of probable Ebola deaths,United States of America,2014-12-10,0
Cumulative number of suspected Ebola deaths,United States of America,2014-12-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-12-10,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-12-10,7
Cumulative number of probable Ebola deaths,Nigeria,2014-12-10,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-12-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-12-10,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-12-10,0
Cumulative number of probable Ebola deaths,Senegal,2014-12-10,0
Cumulative number of suspected Ebola deaths,Senegal,2014-12-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-12-10,0
Cumulative number of confirmed Ebola deaths,Spain,2014-12-10,0
Cumulative number of probable Ebola deaths,Spain,2014-12-10,0
Cumulative number of suspected Ebola deaths,Spain,2014-12-10,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-12-10,0
Cumulative number of confirmed Ebola cases,Guinea,2014-12-03,1929
Cumulative number of probable Ebola cases,Guinea,2014-12-03,210
Cumulative number of suspected Ebola cases,Guinea,2014-12-03,25
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-12-03,2164
Cumulative number of confirmed Ebola cases,Liberia,2014-12-03,2801
Cumulative number of probable Ebola cases,Liberia,2014-12-03,1792
Cumulative number of suspected Ebola cases,Liberia,2014-12-03,3042
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-12-03,7635
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-12-03,5978
Cumulative number of probable Ebola cases,Sierra Leone,2014-12-03,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-12-03,1255
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-12-03,7312
Cumulative number of confirmed Ebola cases,Mali,2014-12-03,7
Cumulative number of probable Ebola cases,Mali,2014-12-03,1
Cumulative number of suspected Ebola cases,Mali,2014-12-03,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-03,8
Cumulative number of confirmed Ebola cases,United States of America,2014-12-03,4
Cumulative number of probable Ebola cases,United States of America,2014-12-03,0
Cumulative number of suspected Ebola cases,United States of America,2014-12-03,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-12-03,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-12-03,19
Cumulative number of probable Ebola cases,Nigeria,2014-12-03,1
Cumulative number of suspected Ebola cases,Nigeria,2014-12-03,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-12-03,20
Cumulative number of confirmed Ebola cases,Senegal,2014-12-03,1
Cumulative number of probable Ebola cases,Senegal,2014-12-03,0
Cumulative number of suspected Ebola cases,Senegal,2014-12-03,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-03,1
Cumulative number of confirmed Ebola cases,Spain,2014-12-03,1
Cumulative number of probable Ebola cases,Spain,2014-12-03,0
Cumulative number of suspected Ebola cases,Spain,2014-12-03,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-12-03,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-12-03,306
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-12-03,306
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-12-03,278
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-12-03,278
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-12-03,1455
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-12-03,1455
Cumulative number of confirmed Ebola deaths,Guinea,2014-12-03,1117
Cumulative number of probable Ebola deaths,Guinea,2014-12-03,210
Cumulative number of suspected Ebola deaths,Guinea,2014-12-03,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-12-03,1327
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-12-03,3145
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-12-03,1374
Cumulative number of probable Ebola deaths,Sierra Leone,2014-12-03,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-12-03,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-12-03,1583
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-12-03,6
Cumulative number of confirmed Ebola deaths,United States of America,2014-12-03,1
Cumulative number of probable Ebola deaths,United States of America,2014-12-03,0
Cumulative number of suspected Ebola deaths,United States of America,2014-12-03,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-12-03,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-12-03,7
Cumulative number of probable Ebola deaths,Nigeria,2014-12-03,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-12-03,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-12-03,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-12-03,0
Cumulative number of probable Ebola deaths,Senegal,2014-12-03,0
Cumulative number of suspected Ebola deaths,Senegal,2014-12-03,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-12-03,0
Cumulative number of confirmed Ebola deaths,Spain,2014-12-03,0
Cumulative number of probable Ebola deaths,Spain,2014-12-03,0
Cumulative number of suspected Ebola deaths,Spain,2014-12-03,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-12-03,0
Cumulative number of confirmed Ebola cases,Guinea,2014-12-01,1921
Cumulative number of probable Ebola cases,Guinea,2014-12-01,210
Cumulative number of suspected Ebola cases,Guinea,2014-12-01,24
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-12-01,2155
Cumulative number of confirmed Ebola cases,Liberia,2014-12-01,2801
Cumulative number of probable Ebola cases,Liberia,2014-12-01,1792
Cumulative number of suspected Ebola cases,Liberia,2014-12-01,3042
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-12-01,7635
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-12-01,5831
Cumulative number of probable Ebola cases,Sierra Leone,2014-12-01,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-12-01,1199
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-12-01,7109
Cumulative number of confirmed Ebola cases,Mali,2014-12-01,7
Cumulative number of probable Ebola cases,Mali,2014-12-01,1
Cumulative number of suspected Ebola cases,Mali,2014-12-01,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-12-01,8
Cumulative number of confirmed Ebola cases,Spain,2014-12-01,1
Cumulative number of probable Ebola cases,Spain,2014-12-01,0
Cumulative number of suspected Ebola cases,Spain,2014-12-01,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-12-01,1
Cumulative number of confirmed Ebola cases,United States of America,2014-12-01,4
Cumulative number of probable Ebola cases,United States of America,2014-12-01,0
Cumulative number of suspected Ebola cases,United States of America,2014-12-01,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-12-01,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-12-01,19
Cumulative number of probable Ebola cases,Nigeria,2014-12-01,1
Cumulative number of suspected Ebola cases,Nigeria,2014-12-01,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-12-01,20
Cumulative number of confirmed Ebola cases,Senegal,2014-12-01,1
Cumulative number of probable Ebola cases,Senegal,2014-12-01,0
Cumulative number of suspected Ebola cases,Senegal,2014-12-01,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-12-01,1
Cumulative number of confirmed Ebola deaths,Guinea,2014-12-01,1102
Cumulative number of probable Ebola deaths,Guinea,2014-12-01,210
Cumulative number of suspected Ebola deaths,Guinea,2014-12-01,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-12-01,1312
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-12-01,3145
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-12-01,1321
Cumulative number of probable Ebola deaths,Sierra Leone,2014-12-01,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-12-01,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-12-01,1530
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-12-01,6
Cumulative number of confirmed Ebola deaths,Spain,2014-12-01,0
Cumulative number of probable Ebola deaths,Spain,2014-12-01,0
Cumulative number of suspected Ebola deaths,Spain,2014-12-01,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-12-01,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-12-01,1
Cumulative number of probable Ebola deaths,United States of America,2014-12-01,0
Cumulative number of suspected Ebola deaths,United States of America,2014-12-01,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-12-01,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-12-01,7
Cumulative number of probable Ebola deaths,Nigeria,2014-12-01,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-12-01,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-12-01,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-12-01,0
Cumulative number of probable Ebola deaths,Senegal,2014-12-01,0
Cumulative number of suspected Ebola deaths,Senegal,2014-12-01,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-12-01,0
Cumulative number of confirmed Ebola cases,Guinea,2014-11-26,1850
Cumulative number of probable Ebola cases,Guinea,2014-11-26,210
Cumulative number of suspected Ebola cases,Guinea,2014-11-26,74
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-26,2134
Cumulative number of confirmed Ebola cases,Liberia,2014-11-26,2727
Cumulative number of probable Ebola cases,Liberia,2014-11-26,1754
Cumulative number of suspected Ebola cases,Liberia,2014-11-26,2687
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-26,7168
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-26,5441
Cumulative number of probable Ebola cases,Sierra Leone,2014-11-26,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-26,1079
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-26,6599
Cumulative number of confirmed Ebola cases,Mali,2014-11-26,7
Cumulative number of probable Ebola cases,Mali,2014-11-26,1
Cumulative number of suspected Ebola cases,Mali,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-26,8
Cumulative number of confirmed Ebola cases,Spain,2014-11-26,1
Cumulative number of probable Ebola cases,Spain,2014-11-26,0
Cumulative number of suspected Ebola cases,Spain,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-26,1
Cumulative number of confirmed Ebola cases,United States of America,2014-11-26,4
Cumulative number of probable Ebola cases,United States of America,2014-11-26,0
Cumulative number of suspected Ebola cases,United States of America,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-26,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-11-26,19
Cumulative number of probable Ebola cases,Nigeria,2014-11-26,1
Cumulative number of suspected Ebola cases,Nigeria,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-26,20
Cumulative number of confirmed Ebola cases,Senegal,2014-11-26,1
Cumulative number of probable Ebola cases,Senegal,2014-11-26,0
Cumulative number of suspected Ebola cases,Senegal,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-26,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-11-26,374
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-11-26,374
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-11-26,319
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-11-26,319
Number of confirmed Ebola cases in the last 21 days,Sierra Leone,2014-11-26,1339
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Sierra Leone,2014-11-26,1339
Cumulative number of confirmed Ebola deaths,Guinea,2014-11-26,1050
Cumulative number of probable Ebola deaths,Guinea,2014-11-26,210
Cumulative number of suspected Ebola deaths,Guinea,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-26,1260
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-26,3016
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-11-26,1189
Cumulative number of probable Ebola deaths,Sierra Leone,2014-11-26,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-11-26,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-11-26,1398
Cumulative number of confirmed Ebola deaths,Mali,2014-11-26,5
Cumulative number of probable Ebola deaths,Mali,2014-11-26,1
Cumulative number of suspected Ebola deaths,Mali,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-26,6
Cumulative number of confirmed Ebola deaths,Spain,2014-11-26,0
Cumulative number of probable Ebola deaths,Spain,2014-11-26,0
Cumulative number of suspected Ebola deaths,Spain,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-11-26,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-11-26,1
Cumulative number of probable Ebola deaths,United States of America,2014-11-26,0
Cumulative number of suspected Ebola deaths,United States of America,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-11-26,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-11-26,7
Cumulative number of probable Ebola deaths,Nigeria,2014-11-26,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-11-26,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-11-26,0
Cumulative number of probable Ebola deaths,Senegal,2014-11-26,0
Cumulative number of suspected Ebola deaths,Senegal,2014-11-26,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-11-26,0
Cumulative number of confirmed Ebola cases,Guinea,2014-11-21,1745
Cumulative number of probable Ebola cases,Guinea,2014-11-21,216
Cumulative number of suspected Ebola cases,Guinea,2014-11-21,86
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-21,2047
Cumulative number of confirmed Ebola cases,Liberia,2014-11-21,2669
Cumulative number of probable Ebola cases,Liberia,2014-11-21,1750
Cumulative number of suspected Ebola cases,Liberia,2014-11-21,2663
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-21,7082
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-21,5152
Cumulative number of probable Ebola cases,Sierra Leone,2014-11-21,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-21,959
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-21,6190
Cumulative number of confirmed Ebola cases,Mali,2014-11-21,5
Cumulative number of probable Ebola cases,Mali,2014-11-21,1
Cumulative number of suspected Ebola cases,Mali,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-21,6
Cumulative number of confirmed Ebola cases,Spain,2014-11-21,1
Cumulative number of probable Ebola cases,Spain,2014-11-21,0
Cumulative number of suspected Ebola cases,Spain,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-21,1
Cumulative number of confirmed Ebola cases,United States of America,2014-11-21,4
Cumulative number of probable Ebola cases,United States of America,2014-11-21,0
Cumulative number of suspected Ebola cases,United States of America,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-21,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-11-21,19
Cumulative number of probable Ebola cases,Nigeria,2014-11-21,1
Cumulative number of suspected Ebola cases,Nigeria,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-21,20
Cumulative number of confirmed Ebola cases,Senegal,2014-11-21,1
Cumulative number of probable Ebola cases,Senegal,2014-11-21,0
Cumulative number of suspected Ebola cases,Senegal,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-21,1
Cumulative number of confirmed Ebola deaths,Guinea,2014-11-21,998
Cumulative number of probable Ebola deaths,Guinea,2014-11-21,216
Cumulative number of suspected Ebola deaths,Guinea,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-21,1214
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-21,2963
Cumulative number of confirmed Ebola deaths,Sierra Leone,2014-11-21,1058
Cumulative number of probable Ebola deaths,Sierra Leone,2014-11-21,174
Cumulative number of suspected Ebola deaths,Sierra Leone,2014-11-21,35
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,2014-11-21,1267
Cumulative number of confirmed Ebola deaths,Mali,2014-11-21,5
Cumulative number of probable Ebola deaths,Mali,2014-11-21,1
Cumulative number of suspected Ebola deaths,Mali,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-21,6
Cumulative number of confirmed Ebola deaths,Spain,2014-11-21,0
Cumulative number of probable Ebola deaths,Spain,2014-11-21,0
Cumulative number of suspected Ebola deaths,Spain,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-11-21,0
Cumulative number of confirmed Ebola deaths,United States of America,2014-11-21,1
Cumulative number of probable Ebola deaths,United States of America,2014-11-21,0
Cumulative number of suspected Ebola deaths,United States of America,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,2014-11-21,1
Cumulative number of confirmed Ebola deaths,Nigeria,2014-11-21,7
Cumulative number of probable Ebola deaths,Nigeria,2014-11-21,1
Cumulative number of suspected Ebola deaths,Nigeria,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-11-21,8
Cumulative number of confirmed Ebola deaths,Senegal,2014-11-21,0
Cumulative number of probable Ebola deaths,Senegal,2014-11-21,0
Cumulative number of suspected Ebola deaths,Senegal,2014-11-21,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-11-21,0
Cumulative number of confirmed Ebola cases,Guinea,2014-11-19,1698
Cumulative number of probable Ebola cases,Guinea,2014-11-19,210
Cumulative number of suspected Ebola cases,Guinea,2014-11-19,63
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-19,1971
Cumulative number of confirmed Ebola cases,Liberia,2014-11-19,2643
Cumulative number of probable Ebola cases,Liberia,2014-11-19,1762
Cumulative number of suspected Ebola cases,Liberia,2014-11-19,2664
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-19,7069
Cumulative number of confirmed Ebola cases,Sierra Leone,2014-11-19,5056
Cumulative number of probable Ebola cases,Sierra Leone,2014-11-19,79
Cumulative number of suspected Ebola cases,Sierra Leone,2014-11-19,938
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-11-19,6073
Cumulative number of confirmed Ebola cases,Mali,2014-11-19,5
Cumulative number of probable Ebola cases,Mali,2014-11-19,1
Cumulative number of suspected Ebola cases,Mali,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-19,6
Cumulative number of confirmed Ebola cases,Spain,2014-11-19,1
Cumulative number of probable Ebola cases,Spain,2014-11-19,0
Cumulative number of suspected Ebola cases,Spain,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-19,1
Cumulative number of confirmed Ebola cases,United States of America,2014-11-19,4
Cumulative number of probable Ebola cases,United States of America,2014-11-19,0
Cumulative number of suspected Ebola cases,United States of America,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,2014-11-19,4
Cumulative number of confirmed Ebola cases,Nigeria,2014-11-19,19
Cumulative number of probable Ebola cases,Nigeria,2014-11-19,1
Cumulative number of suspected Ebola cases,Nigeria,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-19,20
Cumulative number of confirmed Ebola cases,Senegal,2014-11-19,1
Cumulative number of probable Ebola cases,Senegal,2014-11-19,0
Cumulative number of suspected Ebola cases,Senegal,2014-11-19,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-19,1
Number of confirmed Ebola cases in the last 21 days,Guinea,2014-11-19,308
Number of probable Ebola cases in the last 21 days,Guinea,2014-11-19,7
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-11-19,315
Number of confirmed Ebola cases in the last 21 days,Liberia,2014-11-19,340
